season,player_id,person_id,career_id,name,bats,throws,position,height_in,weight_lb,dob,hometown,status,jersey,team_slug
2024,a9y1w119q4g4z58l,a9y1w119q4g4z58l,career:756ecde5eaea4209,Cam Tullar,L,L,LHP,74,215,2000-06-30,"Ann Arbor, MI",Active,46,billingsmustangs
2024,opmv7e55f51wuw25,opmv7e55f51wuw25,career:ee52edd8d5d20b05,Shane Spencer,R,R,RHP,74,170,2001-01-06,"Las Vegas, NV",Active,47,billingsmustangs
2024,bf9qwaxkqwdg2125,bf9qwaxkqwdg2125,career:9c19004252bb7c45,Patrick Mills,L,L,1B/OF,76,210,2000-04-04,"Kokomo, IN",Injured,49,billingsmustangs
2024,m5br8a089vhtv4lb,m5br8a089vhtv4lb,career:97955424da342345,Jonathan Haab,R,R,RHP,75,215,,"Norcross, GA",Active,50,billingsmustangs
2024,96kq73q665l2d5nr,96kq73q665l2d5nr,career:c2f2af3eac5ae74a,James Deloatch,R,R,P,72,210,2000-02-15,"Norfork, VA",Inactive,51,billingsmustangs
2024,pagw7fg6iq5lrpc0,pagw7fg6iq5lrpc0,career:308a95ca6735b75b,Ethan McRae,L,L,LHP,77,225,,"Marina, CA",Active,52,billingsmustangs
2024,38zhcbl9g9k6xt4t,38zhcbl9g9k6xt4t,career:d5c13276a8dcc1ce,Dawson Lane,L,L,LHP,77,210,1999-06-16,"Lakeland, FL",Active,54,billingsmustangs
2024,9fnwtevpmk3pnovy,9fnwtevpmk3pnovy,career:c7b088401f36ae87,Luke Rettig,R,R,LHP,76,205,2000-08-24,"Newark, DE",Inactive,54,billingsmustangs
2024,xigy4ghyszb4ihfb,xigy4ghyszb4ihfb,career:f9f0d11b1f0d76c3,AJ Riddle,R,R,RHP,77,230,2000-05-03,"Dearborn Heights, MI",Inactive,57,billingsmustangs
2024,kbuiumtx3w2e47y4,kbuiumtx3w2e47y4,career:e85e8339b5df5298,Gary Lora,R,R,1B/DH,75,250,1999-07-03,"Santo Domingo, DR",Active,65,billingsmustangs
2024,f9finuri55ap100v,f9finuri55ap100v,career:974209c4964b77e4,Ty Crittenberger,R,R,OF,70,180,1999-12-03,"Lighthouse Point, FL",Inactive,77,billingsmustangs
2024,cnruyqwuytcp6pnd,cnruyqwuytcp6pnd,career:bb2073e840ff539a,Jesus Baez,R,R,RHP,70,165,2001-12-21,"Bonoa, Dominican Republic",Inactive,80,billingsmustangs
2024,j13ba2p2b2l09404,j13ba2p2b2l09404,career:c98013271a990344,Mitch Moralez,R,R,INF,70,200,1998-08-22,"Temecula, CA",Inactive,83,billingsmustangs
2024,s7yje9rvlou4lav3,s7yje9rvlou4lav3,career:c19912f918d93d0e,Dustin Crenshaw,R,R,INF,74,185,2001-11-12,"Chandler, AZ",Inactive,85,billingsmustangs
2024,15s28c222gq4olae,15s28c222gq4olae,career:8298f516fdc63bb1,Nic Daniels,R,R,RHP,76,195,1999-11-21,"Tampa, FL",Inactive,86,billingsmustangs
2024,h6lc1do8chjukcdx,h6lc1do8chjukcdx,career:96bc79d7fef86d71,Sayer Diederich,L,L,LHP,,190,2000-10-10,"Omaha, NE",Inactive,90,billingsmustangs
2024,xubqmjyirgclhim2,xubqmjyirgclhim2,career:f7ec29796e1d119f,Logan Lee,R,R,RHP,76,220,,"Rockford, MI",Inactive,90,billingsmustangs
2024,appj34hqsxtf9woi,appj34hqsxtf9woi,career:286ee1169b3658a6,Drew Clark,R,R,RHP,69,190,1998-08-05,"Reno, NV",Inactive,91,billingsmustangs
2024,wvr9x5y9xodjr9c0,wvr9x5y9xodjr9c0,career:b0c7e3a12eccadad,John Esposito,R,R,RHP,75,205,2000-10-31,"Staten Island, NY",Inactive,92,billingsmustangs
2024,pguqfv85ypfil0bx,pguqfv85ypfil0bx,career:188a5b3daa9d95a6,Travis Holt,R,R,INF,72,185,1999-05-05,"Fort Lauderdale, FL",Inactive,93,billingsmustangs
2024,jpxoxi97zen1oer1,jpxoxi97zen1oer1,career:6f0b0c8a48bc2a98,Isaac Lovings,R,R,C,72,235,1999-12-26,"Beaverton, OR",Inactive,94,billingsmustangs
2024,17atyovrqq86s3w7,17atyovrqq86s3w7,career:96bfff740ba28163,Luke Fennelly,R,R,2B/SS,72,185,1998-07-14,"Davenport, IA",Inactive,95,billingsmustangs
2024,nt1c47lczwdwu7dh,nt1c47lczwdwu7dh,career:f22951f75df3966d,Austin Mora,R,R,RHP,71,185,1998-07-10,"Mayfield, OH",Inactive,95,billingsmustangs
2024,6nmjqkwovmupk37p,6nmjqkwovmupk37p,career:cec9fa42bb7f4294,Riley Bost,R,R,RHP,75,200,1999-06-06,"Caddo Mills, TX",Inactive,96,billingsmustangs
2024,hyb1z17ihabwcm9u,hyb1z17ihabwcm9u,career:b9e1e0f718eefe01,Ty Pohlmann,R,R,RHP,76,240,,"Chandler, AZ",Inactive,97,billingsmustangs
2024,7thduocv3q7sjb78,7thduocv3q7sjb78,career:fe61cd8e89773eda,Jacob Sisto,R,R,C,70,215,,"Liverpool, NY",Inactive,97,billingsmustangs
2024,i9srl5lnwa045txo,i9srl5lnwa045txo,career:5728ba51f486c6d1,Alex Canty,R,R,IF,70,180,,"Brockport, NY",Inactive,99,billingsmustangs
2024,6kx2o5mgc05twxae,6kx2o5mgc05twxae,career:80c10537d38fe0a8,Armani Sanchez,R,R,IF,74,185,2001-02-09,,Inactive,1,boisehawks
2024,c6u0q2vd3y5y16p1,c6u0q2vd3y5y16p1,career:6573a3169c102f53,Kole Kaler,,R,INF,70,180,1998-11-06,"Queen Creek, Arizona",Inactive,2,boisehawks
2024,p76s5jwx9y0uprxq,p76s5jwx9y0uprxq,career:30fd4cd30066e76c,Tyner Hughes,R,R,IF,72,190,1999-05-15,"Gibson County, TN",Active,5,boisehawks
2024,q1c7gklrvu0dpzl9,q1c7gklrvu0dpzl9,career:90682c4e5adc990e,Joseph Kalafut,L,L,OF,75,215,2000-07-08,"Columbus, WI",Active,6,boisehawks
2024,21217snsliszobum,21217snsliszobum,career:46bc102acdad77be,Benjamin Livorsi,R,R,C,72,210,1998-12-18,"Minnetonka, MN",Inactive,7,boisehawks
2024,gjq34ef6wze0r6ua,gjq34ef6wze0r6ua,career:72b800841bf2d16a,Michael O'Hara,L,R,OF,72,195,2001-05-27,"Danville, CA",Active,7,boisehawks
2024,ak1ol9xk8uqfh9p7,ak1ol9xk8uqfh9p7,career:51dfc0ad56da5fc9,Troy Viola,R,R,IF,74,220,1998-06-21,"Bend, OR",Active,8,boisehawks
2024,n7v2a7pu5etspmod,n7v2a7pu5etspmod,career:44ea35a9d32faaa6,Casey Dykstra,L,R,RHP,71,215,1999-04-07,"Simi Valley, CA",Active,9,boisehawks
2024,kisr4e05jtzx1mj4,kisr4e05jtzx1mj4,career:bd768f519d858efd,Luke Schafer,R,R,Pitcher,,,2001-03-19,,Inactive,10,boisehawks
2024,f32z7fioj3k7ffm1,f32z7fioj3k7ffm1,career:34b96734123d4982,Tristan Walton,L,L,Pitcher,75,190,2000-09-23,"Clay, AL",Inactive,10,boisehawks
2024,31ehubeshawg5cjz,31ehubeshawg5cjz,career:66369f597941479b,Patrick Merino,R,R,OF,74,220,1998-08-13,"La Habana, Cuba",Active,12,boisehawks
2024,gc6kgog5ptdxjw03,gc6kgog5ptdxjw03,career:e56edab25b5007fd,Nicholas Klemp,R,R,C,72,185,2000-06-10,"Everett, WA",Active,13,boisehawks
2024,0jh2rymugzy1o7vw,0jh2rymugzy1o7vw,career:42f02db39b496dfa,Trevor Minder,R,R,SS,75,200,1999-01-22,"Springfield, IL",Active,15,boisehawks
2024,7yvvtlt3k8d27rmi,7yvvtlt3k8d27rmi,career:8f2af05e3fc6f912,Cameron Dayton,L,L,Pitcher,75,195,2000-12-05,,Active,16,boisehawks
2024,bq9fshzdhl2trdcr,bq9fshzdhl2trdcr,career:f1e4a52e894aecdf,Micah Yonamine,R,R,IF,75,220,2000-10-10,"Honolulu, HI",Active,17,boisehawks
2024,zaqz87tamnugyloe,zaqz87tamnugyloe,career:6d8659806900138d,Max Jung-Goldberg,L,R,OF,72,200,2000-05-08,"Redwood City, CA",Active,18,boisehawks
2024,9roy0ziv0cctylma,9roy0ziv0cctylma,career:c23642a9e9b78dfb,Blake McFadden,R,L,RP,75,215,1998-02-16,"Meridian, ID",Active,19,boisehawks
2024,6fowa8kpy2mmw1ef,6fowa8kpy2mmw1ef,career:a73c16005751cb11,Ronaldo Fernandez,R,R,RHP,71,195,2000-11-11,"Miami, FL",Inactive,20,boisehawks
2024,5jrmo1c1t30fb7zc,5jrmo1c1t30fb7zc,career:50a8aca039a74137,Blake Whiting,R,R,Pitcher,74,185,1999-04-21,"Oakdale, CA",Active,20,boisehawks
2024,jfiv9drms7k5dpyv,jfiv9drms7k5dpyv,career:c762cffe1125b2fd,Connor Butler,L,L,LHR,72,180,2000-04-22,"Boise, ID",Active,21,boisehawks
2024,3fdb3arivk8fbbbl,3fdb3arivk8fbbbl,career:a84b1690abf1fd28,Tyler Jorgensen,L,R,,74,190,1997-09-25,"Gilbert, AZ",Active,24,boisehawks
2024,w5vvrf58x6s94e3k,w5vvrf58x6s94e3k,career:b64bb14b928c367f,Noah Marcelo,R,R,OF,69,190,2000-09-06,"Redwood City, CA",Active,25,boisehawks
2024,ieipgcbgu9jw6hkx,ieipgcbgu9jw6hkx,career:59177ff99875f11a,Emilio Alfonzo,R,R,RHP,77,210,2000-08-02,"Carupano, Venezuela",Active,26,boisehawks
2024,rld44x3g02k7c8km,rld44x3g02k7c8km,career:4573cb9faf8500a4,Andrew Edwards,L,L,P,74,215,1997-05-12,"Tucson, AZ",Active,28,boisehawks
2024,edihnax4onr0vzro,edihnax4onr0vzro,career:657f0ad331d4837e,Isaac Mendez,R,R,P,76,215,2001-05-13,"Pomona, Calif.",Active,29,boisehawks
2024,y4wj5cucamywb2ek,y4wj5cucamywb2ek,career:8c4de28d68a0d464,Robert Dudzinski,R,R,P,76,215,2000-03-16,"Elburn, IL",Inactive,30,boisehawks
2024,8v0vrbdmsba2mg1t,8v0vrbdmsba2mg1t,career:95dd61ba52781ffb,D.J. Poteet,R,R,OF,,,1998-06-12,,Injured,31,boisehawks
2024,efpsj6cbf4pzjrrj,efpsj6cbf4pzjrrj,career:9c9c7549fca63872,Michael Esposito,L,L,P,70,190,1999-09-22,"Alpharetta, GA",Active,38,boisehawks
2024,4t5vcyo2x1j239w1,4t5vcyo2x1j239w1,career:7461b914efa18030,Reed Garland,R,R,RHP,74,185,2001-09-12,"Rock Hill, SC",Inactive,38,boisehawks
2024,4bt5kn7d92vcriy6,4bt5kn7d92vcriy6,career:2299ab75efd46bde,Bubba Thompson,R,R,infield,74,205,2001-04-15,"Appleton, WI",Inactive,38,boisehawks
2024,hlgrfh5n0il4jp02,hlgrfh5n0il4jp02,career:410130b613dc5322,Evan Kowalski,R,R,P,74,200,1998-11-13,"Guthrie, OK",Active,41,boisehawks
2024,f6uflrqs9y93cykb,f6uflrqs9y93cykb,career:e4a26e25e8ff34b5,Luke Malone,R,R,P,75,215,1998-10-20,,Active,44,boisehawks
2024,irn4y0n83ksn049p,irn4y0n83ksn049p,career:af35ec5780dad0cc,Mike Peterson,R,R,P,77,215,1998-07-21,,Active,45,boisehawks
2024,nal7jsbyferih7zk,nal7jsbyferih7zk,career:46a16eef5af59de6,Brayden Spears,R,R,P,,,2001-02-27,,Injured,49,boisehawks
2024,ewuamn61jbdzz3gx,ewuamn61jbdzz3gx,career:1b86d377bdf7763f,Carter Sanford,L,R,Catcher,,,2001-07-03,"Tuscaloosa, AL",Active,99,boisehawks
2024,5yttq9y9fco5xnmr,5yttq9y9fco5xnmr,career:354e5ccbfc4b6cca,Christian Kirtley,R,R,LF/INF,72,195,,,Active,1,glacierrangeriders
2024,50hcz0wv6xbp8j5s,50hcz0wv6xbp8j5s,career:f8fe8d32fecaf2b1,Antonio Barranca,R,R,C,,,2001-07-25,,Active,2,glacierrangeriders
2024,ymzhmxi55jmhaof2,ymzhmxi55jmhaof2,career:457b307b64a506f2,Blaze O'Saben,R,R,,,,2000-07-13,,Inactive,2,glacierrangeriders
2024,ssr0sznmljasuib4,ssr0sznmljasuib4,career:51e1480b9a8d0cf3,Trevor Sheehan,R,R,3B,73,185,2002-04-18,,Inactive,2,glacierrangeriders
2024,9v5x5zk9t4mz5ads,9v5x5zk9t4mz5ads,career:c0c368c8c87a7207,Ty Penner,L,R,IF,76,215,,"Lethbridge, Canada",Active,3,glacierrangeriders
2024,u7nu5axb2lflkazs,u7nu5axb2lflkazs,career:f6113c47efdbf9fb,Austin Bates,S,R,OF/C,70,180,1999-01-19,,Inactive,4,glacierrangeriders
2024,xqwgzy82q5hyvvik,xqwgzy82q5hyvvik,career:0b3d329e94c1f298,Ryan McCarthy,L,R,OF,75,235,1999-01-13,"Conyers, GA",Active,5,glacierrangeriders
2024,guq7bmgbmpuz42gx,guq7bmgbmpuz42gx,career:32433764d52a3b53,Gavin Tonkel,R,R,OF,74,206,2002-11-06,"Brentwood, CA",Inactive,5,glacierrangeriders
2024,3runegpqw6mig9eu,3runegpqw6mig9eu,career:61b73e768578ae14,Nick Block,R,R,RF,76,220,2000-05-23,"Woodstock, GA",Inactive,6,glacierrangeriders
2024,mlgwg524sgj5ed9k,mlgwg524sgj5ed9k,career:045cf977539d4bf9,JD McLaughlin,R,R,OF,74,195,2000-12-28,"Mesa, AZ",Injured,7,glacierrangeriders
2024,z9bdtpt5yzn6phlr,z9bdtpt5yzn6phlr,career:9207307a59fb5cec,Ben Fitzgerald,L,R,IF,73,195,1999-04-27,"West Des Moines, IA",Active,8,glacierrangeriders
2024,0kspizc11s5t8o6h,0kspizc11s5t8o6h,career:35d5c910bb88ae97,John Daly,R,R,OF,70,190,1998-06-20,"Nyack, NY",Inactive,9,glacierrangeriders
2024,3npq0pltfiek0b35,3npq0pltfiek0b35,career:58157c7b1787a112,River Orsak,R,R,OF,,,2000-12-22,"Mont Belvieu, TX",Injured,9,glacierrangeriders
2024,6n8t4acs55kpc1pi,6n8t4acs55kpc1pi,career:0310bc9c97027077,Connor Housley,L,R,RHP,76,205,2001-08-18,"Riverdale, GA",Inactive,10,glacierrangeriders
2024,aewetgv8n1lv9gn7,aewetgv8n1lv9gn7,career:b63248f5fa48975a,Gabe Howell,R,R,IF,73,180,1998-03-12,"Fort Oglethorpe, GA",Active,10,glacierrangeriders
2024,s26hdq45rubozfal,s26hdq45rubozfal,career:db980a073207a9dc,Nick Zegna,R,R,P,77,220,1999-12-16,"Newark, DE",Active,11,glacierrangeriders
2024,bj2816chb59sp61w,bj2816chb59sp61w,career:c5fef4231bcf24f6,Jack Lynch,R,R,LHP,71,190,2001-04-17,"Dallas, TX",Active,12,glacierrangeriders
2024,67d6ws6akm00l4r1,67d6ws6akm00l4r1,career:2da0ac959ae821b7,Brady Held,R,R,OF/RHP,,,2000-06-25,,Injured,13,glacierrangeriders
2024,giwt7adruqu4kg4o,giwt7adruqu4kg4o,career:8ec3fb939cc421da,Kaleb Sophy,R,R,LHP,75,185,2001-03-03,"Orwigsburg, PA",Active,14,glacierrangeriders
2024,i23dsq9yhkrvvl6c,i23dsq9yhkrvvl6c,career:69089bb0d0ff2731,Trevor Baker,R,R,RHP,73,150,2001-06-10,"North Port, FL",Injured,15,glacierrangeriders
2024,j6ahilapa5u4e3gv,j6ahilapa5u4e3gv,career:0c2b402c54f4154a,Montana Quigley,R,R,P,,,1997-07-06,,Injured,16,glacierrangeriders
2024,4ag39mn5iwmjnbuh,4ag39mn5iwmjnbuh,career:7dd1ccce8c6b47f4,Cooper Benson,L,L,LHR,72,213,2000-08-03,"San Luis Obispo, CA",Active,17,glacierrangeriders
2024,ino1g4mzufnh1e4b,ino1g4mzufnh1e4b,career:0b3127a860c569c0,Jake Simons,R,R,Of,69,180,2000-02-05,,Inactive,18,glacierrangeriders
2024,o1fzwb8p33un4x3z,o1fzwb8p33un4x3z,career:c1117f6df7bf0e50,Freddy Guilamo,R,R,C,71,160,,,Active,19,glacierrangeriders
2024,61rryl0h2g9pdrbe,61rryl0h2g9pdrbe,career:7ecc67ef71f182d2,Keaton Carattini,R,R,RHR,74,215,2000-03-14,"Encinitas, CA",Inactive,20,glacierrangeriders
2024,vure4kf0mtkksxy6,vure4kf0mtkksxy6,career:003c8be14aa23105,Kingston Liniak,R,R,OF,,,1999-11-11,"La Jolla, CA",Active,20,glacierrangeriders
2024,k6oocncazml1fmho,k6oocncazml1fmho,career:de5fadb571fdd6ab,Carter Raffield,R,R,P,,,2000-02-28,,Inactive,20,glacierrangeriders
2024,7ta8lyaitqov5yq3,7ta8lyaitqov5yq3,career:ee63b2fbfce8c15e,Andy Atwood,R,R,IF,73,195,1996-11-15,"Everett, WA",Active,21,glacierrangeriders
2024,8pzzkkchy2zrxzaj,8pzzkkchy2zrxzaj,career:291641fc3588436e,Jason Bollman,R,R,,,,2000-05-01,,Inactive,23,glacierrangeriders
2024,o08pyccdbt11eqal,o08pyccdbt11eqal,career:88279ae9e58f897e,Mason Dinesen,R,R,INF,76,180,1998-07-24,,Inactive,23,glacierrangeriders
2024,7bjrqb5ve8b1thpr,7bjrqb5ve8b1thpr,career:aad5d57a796dab66,Rayne Supple,R,R,P,,,1997-08-18,,Active,23,glacierrangeriders
2024,4lcuimrlp2osq27l,4lcuimrlp2osq27l,career:0af4713e1b0ad206,Jonathan Pintaro,R,R,P,74,225,1997-11-07,"Pelham, AL",Inactive,24,glacierrangeriders
2024,ihuo4nm2qe0ttx8f,ihuo4nm2qe0ttx8f,career:5a1c9dee6bffc846,Ajay Sczepkowski,,,,,,1998-12-19,,Inactive,24,glacierrangeriders
2024,zzho0jqewidgkj30,zzho0jqewidgkj30,career:5f964f15c72ffc51,Patrick Wicklander,L,L,LHP,,,1999-12-31,,Active,24,glacierrangeriders
2024,vn9w1trjnv6inxsz,vn9w1trjnv6inxsz,career:504ec694c6c7a9cd,Drew Sims,R,R,C,,,1999-06-22,,Active,25,glacierrangeriders
2024,l16242pilsjbir7k,l16242pilsjbir7k,career:40e830c8cb25c30e,TJ Clarkson,L,L,OF,,,2000-08-18,,Injured,27,glacierrangeriders
2024,xm5c6hanhwrxj016,xm5c6hanhwrxj016,career:9fd2c14d1f3b1ca6,Chad Castillo,L,R,OF,75,225,,"Orange, CA",Active,28,glacierrangeriders
2024,sbhsqh5dk30vk7kx,sbhsqh5dk30vk7kx,career:6b1f9ad197621613,Jared Engman,R,R,P,72,215,2001-05-30,"Seattle, WA",Active,29,glacierrangeriders
2024,l9ccio6w9znwz750,l9ccio6w9znwz750,career:d5d29c0438c317ef,Nick Gore,R,R,C,74,215,2002-07-18,"Scottsdale, AZ",Inactive,29,glacierrangeriders
2024,ibblhlgiihrorbhh,ibblhlgiihrorbhh,career:11a46c6c7fea51e7,Andrew Washington,R,R,,72,190,2001-02-10,"Sharpsburg, GA",Inactive,29,glacierrangeriders
2024,uy12pt249g1owsts,uy12pt249g1owsts,career:6c715c181588d9fb,Jerome Huntzinger,R,R,,,,,,Active,30,glacierrangeriders
2024,tujn6dclvglo6eh6,tujn6dclvglo6eh6,career:5ca9d90610025c02,Cullen Kafka,R,R,P,,,1999-04-16,"Walnut Creek, CA",Inactive,32,glacierrangeriders
2024,n5kdt1okcmxl6wy4,n5kdt1okcmxl6wy4,career:ed920a8cd5b97b6c,Noah Owen,R,R,P,76,200,2000-10-01,"Oceanside, CA",Active,32,glacierrangeriders
2024,vmapcweubonvlh5u,vmapcweubonvlh5u,career:00f30cdf3cc31a2c,Cameron Cowan,R,R,RHS,77,245,1998-10-25,DesMoines,Injured,33,glacierrangeriders
2024,xkm1t7a269sxa1hn,xkm1t7a269sxa1hn,career:033ae8010a54cb27,Aidan McEvoy,R,L,LHR,76,205,2001-03-07,,Active,34,glacierrangeriders
2024,2p7ntprl8kefvjh1,2p7ntprl8kefvjh1,career:b733983b4716c619,Luke Cooper,,L,,,,2000-08-25,,Active,35,glacierrangeriders
2024,y0k6euecikvh9bef,y0k6euecikvh9bef,career:bde4f29ed6c66bc9,Justin Coleman,R,R,RHR,73,213,1996-06-12,,Active,37,glacierrangeriders
2024,hwhra4mquw2wzdgn,hwhra4mquw2wzdgn,career:3147857b06efd918,Seth Pinkerton,R,R,RHR,75,225,1996-07-26,"Ogdensburg, NY",Active,38,glacierrangeriders
2024,6cswexp77vpyrhet,6cswexp77vpyrhet,career:08d78f8db4a36465,Tyler Clayton,R,R,,,,2001-08-03,,Injured,39,glacierrangeriders
2024,3aeyyu7ahun8k4sn,3aeyyu7ahun8k4sn,career:aea78e0470e68db4,Ricky Tibbett,L,R,P,,,2001-03-01,,Active,44,glacierrangeriders
2024,audmewj3k14o39f3,audmewj3k14o39f3,career:6e0be3648ac14a75,Julian Boyd,L,L,OF,,170,,"Los Angeles, CA",Active,1,grandjunctionjackalopes
2024,aotgmzmyu0gax1yu,aotgmzmyu0gax1yu,career:ef21f410f805ba13,Druw Sackett,R,R,IF,72,180,,"Fruita, Colorado",Active,3,grandjunctionjackalopes
2024,1z1udmkfs2gc0v0t,1z1udmkfs2gc0v0t,career:85a87e7ce2ce8a17,Hunter Bryan,R,R,RHP,72,195,,"Visalia, California",Active,4,grandjunctionjackalopes
2024,vm48wjztkowtmsfk,vm48wjztkowtmsfk,career:51daac5efd3a381d,Josh Romero,,,RHP,,,2001-08-21,"Oxnard, CA",Active,5,grandjunctionjackalopes
2024,tm27hv3s8gihpquo,tm27hv3s8gihpquo,career:03730f354f979617,Bruce Yamamoto,R,R,RHP,,180,,"Los Angeles, CA",Active,6,grandjunctionjackalopes
2024,yo3dk9nib34liu51,yo3dk9nib34liu51,career:1d8d82f397f9cc1b,Calyn Halvorson,R,R,OF,72,200,2000-08-08,"Guthrie, OK",Active,7,grandjunctionjackalopes
2024,psqq8mta515lxqay,psqq8mta515lxqay,career:c713031c6e458ede,Andres Rios,R,R,IF,71,188,,"San Diego, California",Active,8,grandjunctionjackalopes
2024,7vbrxcvg482silhg,7vbrxcvg482silhg,career:e1435efec046d75c,Jonathan Gonzalez,R,R,INF,68,170,2001-06-09,Brawley CA,Active,9,grandjunctionjackalopes
2024,a935cozmzn8a05yc,a935cozmzn8a05yc,career:d3753840575bfc55,Ethan Brown,R,L,LHP,,,2001-06-16,"Chandler, AZ",Active,10,grandjunctionjackalopes
2024,o4ueu74xw8i3mcfm,o4ueu74xw8i3mcfm,career:1cb93f9c5e14a782,Brody Harding,R,R,IF,,175,2001-01-01,"Moline, IL",Active,11,grandjunctionjackalopes
2024,5m0frfj9dc7gzinv,5m0frfj9dc7gzinv,career:c3bf549179135c23,David Rivera,R,R,INF,71,190,1998-10-27,,Active,12,grandjunctionjackalopes
2024,vd6ntgdw9xbor7of,vd6ntgdw9xbor7of,career:ec6ecb3fed2f8c24,Brandon Ross,L,L,LHP,,190,1998-09-13,"Murrieta, CA",Active,15,grandjunctionjackalopes
2024,ep55xja4r6oyrso8,ep55xja4r6oyrso8,career:452f68a987eae8c6,Ethan Smith,R,R,OF,,195,,"Snohomish, Washington",Active,18,grandjunctionjackalopes
